count,word,rank
949,customer,1.0
778,work,2.0
763,pay,3.0
678,rude,4.0
601,management,5.0
585,hour,6.0
578,manager,7.0
479,bad,8.0
452,time,9.0
434,people,10.0
433,low,11.0
406,employee,12.0
383,job,13.0
288,working,14.0
274,sometimes,15.0
253,hard,16.0
226,shift,17.0
221,food,18.0
217,poor,19.0
212,lot,20.0
211,stressful,21.0
206,like,22.0
202,really,23.0
197,day,24.0
188,long,25.0
187,always,26.0
183,one,27.0
171,horrible,28.0
156,terrible,29.5
156,even,29.5
155,make,31.0
151,coworkers,32.0
143,good,33.0
141,mcdonalds,34.5
141,much,34.5
140,environment,36.0
139,wage,37.0
134,worker,38.0
132,would,39.0
131,high,40.0
130,enough,41.0
128,little,42.5
128,store,42.5
124,fast,44.0
120,difficult,45.0
119,break,46.5
119,place,46.5
114,crew,48.0
113,many,49.0
111,deal,50.5
111,never,50.5
110,thing,52.0
107,lack,53.0
105,worked,54.0
103,care,55.0
100,raise,56.0
99,schedule,57.0
98,busy,58.0
94,training,59.0
93,also,60.0
92,minimum,61.0
87,often,63.5
87,con,63.5
87,suck,63.5
87,everything,63.5
83,benefit,66.5
83,could,66.5
81,staff,68.0
79,there,69.0
77,mean,71.5
77,nothing,71.5
77,need,71.5
77,come,71.5
76,every,74.0
74,week,75.0
73,take,76.0
72,paid,77.0
71,go,78.5
71,dirty,78.5
70,service,80.0
68,angry,81.5
68,stress,81.5
67,put,83.0
65,life,85.0
65,want,85.0
65,give,85.0
64,night,87.5
64,company,87.5
63,money,89.0
61,lazy,90.5
61,extremely,90.5
59,unprofessional,92.5
59,well,92.5
58,pro,94.5
58,know,94.5
57,it,97.5
57,everyone,97.5
57,experience,97.5
57,you,97.5
56,member,100.5
56,back,100.5
55,great,102.5
55,short,102.5
54,smell,104.0
53,worst,105.5
53,constantly,105.5
52,annoying,109.5
52,getting,109.5
52,u,109.5
52,call,109.5
52,way,109.5
52,late,109.5
51,rate,114.5
51,order,114.5
51,new,114.5
51,attitude,114.5
50,around,117.5
50,position,117.5
49,dealing,121.5
49,made,121.5
49,cant,121.5
49,say,121.5
49,communication,121.5
49,awful,121.5
48,understaffed,127.5
48,treat,127.5
48,expected,127.5
48,location,127.5
48,problem,127.5
48,boring,127.5
47,owner,133.0
47,anything,133.0
47,year,133.0
47,team,133.0
47,turnover,133.0
46,ever,138.0
46,rush,138.0
46,get,138.0
46,dont,138.0
46,sick,138.0
44,think,141.0
43,scheduling,142.5
43,salary,142.5
42,hot,145.5
42,amount,145.5
42,disrespectful,145.5
42,expect,145.5
41,slow,148.5
41,part,148.5
40,due,151.5
40,paced,151.5
40,advancement,151.5
40,stay,151.5
39,wrong,157.5
39,without,157.5
39,change,157.5
39,almost,157.5
39,show,157.5
39,first,157.5
39,hate,157.5
39,room,157.5
38,keep,165.0
38,may,165.0
38,crazy,165.0
38,still,165.0
38,school,165.0
38,cut,165.0
38,month,165.0
37,respect,170.0
37,going,170.0
37,drama,170.0
36,two,173.5
36,end,173.5
36,2,173.5
36,feel,173.5
35,others,179.5
35,negative,179.5
35,gross,179.5
35,home,179.5
35,help,179.5
35,making,179.5
35,grill,179.5
35,none,179.5
34,reason,186.0
34,condition,186.0
34,all,186.0
34,especially,186.0
34,person,186.0
33,something,191.5
33,else,191.5
